"","run.date","Wt.mg","ID","N","N.mg","N.area","C","C.mg","C.area","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"71","14-Jul-20171411_28.prm",28.402,"JP.E2.Ee2.3.0-10.16",0.0572,0.0163,7.0938,1.3651,0.3877,233.6379,"JP","E","JP.E2","Ee2","16",3,0,10,5,10,0.0572,"Jul-14"
"72","14-Jul-20171511_33.prm",27.516,"JP.E2.L.1.0-10.16",0.0443,0.0122,6.3205,1.0366,0.2852,179.6474,"JP","E","JP.E2","L","16",1,0,10,5,11,0.0443,"Jul-14"
"73","14-Jul-20171611_39.prm",26.682,"JP.E2.Ee2.1.0-10.16",0.0497,0.0133,6.5254,1.061,0.2831,178.515,"JP","E","JP.E2","Ee2","16",1,0,10,5,12,0.0497,"Jul-14"
"75","14-Jul-20171811_51.prm",27.171,"JP.E2.Ee1.1.0-10.16",0.045,0.0122,6.3248,1.0055,0.2732,173.3082,"JP","E","JP.E2","Ee1","16",1,0,10,5,14,0.0447941741588728,"Jul-14"
"76","14-Jul-20171911_56.prm",26.315,"JP.E2.T.1.0-10.16",0.0194,0.0051,4.9653,0.396,0.1042,84.2795,"JP","E","JP.E2","T","16",1,0,10,5,15,0.0192233404105081,"Jul-14"
"77","14-Jul-20172012_02.prm",26.942,"JP.E2.E.1.0-10.04",0.0382,0.0103,5.957,0.7245,0.1952,132.2103,"JP","E","JP.E2","E","04",1,0,10,5,16,0.0376805817335556,"Jul-14"
"78","14-Jul-20172112_08.prm",27.103,"JP.E2.E.3.0-10.04",0.036,0.0097,5.8522,0.7249,0.1965,132.8808,"JP","E","JP.E2","E","04",3,0,10,5,17,0.0353502726864474,"Jul-14"
"79","14-Jul-20172212_14.prm",26.933,"JP.E2.E.2.0-10.04",0.0479,0.0129,6.4543,0.9472,0.2551,163.7674,"JP","E","JP.E2","E","04",2,0,10,5,18,0.046824231006267,"Jul-14"
"80","14-Jul-20172312_19.prm",26.683,"JP.E2.E.4.10-20.04",0.019,0.0051,4.9609,0.3478,0.0928,78.2618,"JP","E","JP.E2","E","04",4,10,20,15,19,0.0184902326788831,"Jul-14"
"81","14-Jul-20172412_25.prm",26.933,"JP.E2.E.3.10-20.04",0.0187,0.005,4.953,0.3068,0.0826,72.9084,"JP","E","JP.E2","E","04",3,10,20,15,20,0.0181172676803449,"Jul-14"
"82","14-Jul-20172512_31.prm",27.332,"JP.E2.E.1.10-20.04",0.0239,0.0065,5.2384,0.3743,0.1023,83.2734,"JP","E","JP.E2","E","04",1,10,20,15,21,0.0230526003639233,"Jul-14"
"83","14-Jul-20172612_37.prm",27.134,"JP.E2.E.2.10-20.04",0.0333,0.009,5.7153,0.5429,0.1473,106.9861,"JP","E","JP.E2","E","04",2,10,20,15,22,0.0319775885983697,"Jul-14"
"84","14-Jul-20172712_42.prm",26.219,"It.E1.Ee2.1.0-10.16",0.3221,0.0844,20.0976,7.0853,1.8577,1008.0474,"It","E","It.E1","Ee2","16",1,0,10,5,23,0.307949933548742,"Jul-14"
"85","14-Jul-20172812_48.prm",27.68,"It.E1.T.1.0-10.16",0.2401,0.0665,16.6699,5.229,1.4474,791.8983,"It","E","It.E1","T","16",1,0,10,5,24,0.228548220411175,"Jul-14"
"86","14-Jul-20172912_54.prm",27.768,"It.E1.L.1.0-10.16",0.2085,0.0579,15.0369,4.863,1.3503,740.7707,"It","E","It.E1","L","16",1,0,10,5,25,0.197604279440809,"Jul-14"
"89","14-Jul-20173213_11.prm",27.428,"It.E1.Ee1.1.0-10.16",0.4325,0.1186,26.6183,7.2497,1.9884,1076.9325,"It","E","It.E1","Ee1","16",1,0,10,5,28,0.404612539884027,"Jul-14"
"90","14-Jul-20173313_17.prm",26.797,"It.E1.T.2.0-10.16",0.2536,0.068,16.9544,5.2173,1.3981,765.9148,"It","E","It.E1","T","16",2,0,10,5,29,0.236232474452324,"Jul-14"
"91","14-Jul-20173413_23.prm",26.672,"It.E1.L.2.0-10.16",0.2586,0.069,17.1489,7.3469,1.9596,1061.7243,"It","E","It.E1","L","16",2,0,10,5,30,0.239863380546221,"Jul-14"
"92","14-Jul-20173513_28.prm",26.224,"It.E1.Ee1.2.0-10.16",0.2233,0.0585,15.1589,5.645,1.4804,809.2612,"It","E","It.E1","Ee1","16",2,0,10,5,31,0.20624200467099,"Jul-14"
"93","14-Jul-20173613_34.prm",27.904,"It.E1.Ee2.2.0-10.16",0.2537,0.0708,17.4924,5.0285,1.4032,768.5916,"It","E","It.E1","Ee2","16",2,0,10,5,32,0.233329503148657,"Jul-14"
"94","14-Jul-20173713_40.prm",27.588,"It.E1.T.3.0-10.16",0.18,0.0497,13.4641,3.8527,1.0629,589.33,"It","E","It.E1","T","16",3,0,10,5,33,0.164850489469892,"Jul-14"
"95","14-Jul-20173813_46.prm",26.821,"It.E1.Ee1.3.0-10.16",0.2871,0.077,18.6791,5.7528,1.543,842.2427,"It","E","It.E1","Ee1","16",3,0,10,5,34,0.261834678698341,"Jul-14"
