File Name,Wt_mg,ID,N_pct,N_mg,N_area,C_pct,C_mg,C_area
07-Jul-201746.prm,26.006,Vg.E.3.60-100.16,0.1212,0.0315,9.0692,1.7697,0.4602,258.6848
07-Jul-201747.prm,27.729,Vg.E.L.3.0-10.16,0.3647,0.1011,22.8161,5.4285,1.5053,836.6281
07-Jul-201748.prm,26.42,Vg.E.T.3.0-10.16,0.3207,0.0847,19.5758,4.5085,1.1911,662.9083
07-Jul-201749.prm,27.896,Vg.E.3.20-40.04,0.2888,0.0806,18.7555,4.223,1.178,655.6634
07-Jul-20175.prm,26.109,Vg.E.Ee1.1.0-10.16,0.3412,0.0891,20.4367,5.3762,1.4037,780.4496
07-Jul-201750.prm,28.776,Vg.E.4.20-40.04,0.2343,0.0674,16.1604,3.5886,1.0326,575.2521
07-Jul-201751.prm,28.776,Vg.E.3.0-10.04,0.313,0.0901,20.6311,4.8042,1.3825,768.7112
07-Jul-201752.prm,29.339,Vg.E.4.0-10.04,0.2911,0.0854,19.7087,4.4462,1.3045,725.5872
07-Jul-201753.prm,29.358,Vg.N.3.0-10.04,0.4997,0.1467,31.8173,6.6232,1.9444,1079.4958
07-Jul-201754.prm,28.769,Vg.N.4.0-10.04,0.4653,0.1339,29.2792,6.0799,1.7491,971.4868
07-Jul-201756.prm,25.36,Vg.E.3.60-100.04,0.1233,0.0313,9.0198,1.9342,0.4905,275.4342
07-Jul-201757.prm,29.541,Vg.E.4.60-100.04,0.1183,0.035,9.747,1.846,0.5453,305.752
07-Jul-20176.prm,28.229,Vg.E.Ee2.1.0-10.16,0.3262,0.0921,21.0283,5.3263,1.5036,835.6905
07-Jul-20177.prm,25.891,Vg.E.L.1.0-10.16,0.3452,0.0894,20.4963,5.2682,1.364,758.4902
07-Jul-20178.prm,26.501,Vg.E.T.1.0-10.16,0.3705,0.0982,22.2347,6.0337,1.599,888.4573
07-Jul-20179.prm,27.393,Vg.E.Ee1.2.0-10.16,0.3556,0.0974,22.0781,5.9744,1.6366,909.2471
11-Jul-20171011_23.prm,25.486,Vg.E.L.3.0-10.16,0.3343,0.0852,20.5163,5.191,1.323,732.1343
11-Jul-20171211_35.prm,27.718,Vg.N.A.1.0-10.16,0.4597,0.1274,28.8353,6.4266,1.7813,987.8597
11-Jul-20171311_40.prm,27.797,Vg.N.C.1.0-10.16,0.3622,0.1007,23.5639,5.3144,1.4773,818.2021
11-Jul-20171411_46.prm,28.798,Vg.N.D.1.0-10.16,0.4299,0.1238,28.1237,6.0812,1.7513,971.0821
11-Jul-20171511_52.prm,27.794,Vg.N.A.2.0-10.16,0.379,0.1053,24.4825,5.4307,1.5094,836.1499
11-Jul-20171611_58.prm,28.827,Vg.N.D.2.0-10.16,0.3618,0.1043,24.279,4.8679,1.4033,776.9316
11-Jul-20171712_03.prm,25.098,Vg.N.C.2.0-10.16,0.307,0.0771,18.9084,4.1359,1.038,573.1483
11-Jul-20171912_15.prm,28.256,Vg.N.A.3.0-10.16,0.4102,0.1159,26.564,5.4841,1.5496,858.5598
11-Jul-20172012_21.prm,27.839,Vg.N.B.3.0-10.16,0.3851,0.1072,24.8515,5.1511,1.434,794.0741
11-Jul-20172112_26.prm,27.392,Vg.N.C.3.0-10.16,0.4012,0.1099,25.3816,5.2325,1.4333,793.6787
11-Jul-20172212_32.prm,27.406,Vg.N.D.3.0-10.16,0.4186,0.1147,26.3349,5.5686,1.5261,845.4805
11-Jul-20172312_38.prm,25.249,Vg.N.A.4.0-10.16,0.3145,0.0794,19.3726,4.2096,1.0629,587.0176
11-Jul-20172412_43.prm,26.501,Vg.N.B.4.0-10.16,0.4391,0.1164,26.6576,5.5445,1.4694,813.7963
11-Jul-20172512_49.prm,25.729,Vg.N.C.4.0-10.16,0.4317,0.1111,25.6142,5.0803,1.3071,723.2745
11-Jul-20172612_55.prm,27.846,Vg.N.D.4.0-10.16,0.3363,0.0936,22.1789,4.4522,1.2398,685.7053
11-Jul-20172713_01.prm,26.347,Vg.N.1.20-40.16,0.2447,0.0645,16.4296,3.593,0.9466,522.1615
11-Jul-20172813_06.prm,26.106,Vg.N.2.20-40.16,0.1897,0.0495,13.4816,2.468,0.6443,353.4685
11-Jul-20172913_12.prm,26.507,Vg.N.3.20-40.16,0.2056,0.0545,14.4609,2.7238,0.722,396.8234
11-Jul-20173013_18.prm,26.352,Vg.N.4.20-40.16,0.2311,0.0609,15.7245,3.2474,0.8558,471.4524
11-Jul-20173213_29.prm,27.619,Vg.N.1.10-20.16,0.2637,0.0728,18.0769,3.4347,0.9486,523.2631
11-Jul-20173313_35.prm,25.747,Vg.N.2.10-20.16,0.2341,0.0603,15.6015,2.8804,0.7416,407.7731
11-Jul-20173413_41.prm,26.838,Vg.N.3.10-20.16,0.2894,0.0777,19.0284,3.6008,0.9664,533.1784
11-Jul-20173513_47.prm,28.402,Vg.N.4.10-20.16,0.2635,0.0748,18.4697,3.3802,0.96,529.6304
11-Jul-20173613_52.prm,29.657,Vg.N.C.1.40-60.16,0.1769,0.0525,14.0592,2.3291,0.6907,379.3793
11-Jul-20173713_58.prm,26.162,Vg.N.A.1.40-60.16,0.2303,0.0602,15.5961,3.5167,0.92,507.3099
11-Jul-20173814_04.prm,27.276,Vg.E.4.0-10.04,0.3165,0.0863,20.7362,4.5449,1.2397,685.6506
11-Jul-20173914_10.prm,26.925,Vg.E.3.20-40.04,0.3058,0.0823,19.9483,4.255,1.1457,633.1919
11-Jul-20174014_15.prm,25.15,Vg.N.A.4.40-60.16,0.1895,0.0477,13.1135,2.4028,0.6043,331.1583
11-Jul-20174114_21.prm,27.915,Vg.N.A.3.40-60.16,0.2154,0.0601,15.5713,2.8333,0.7909,435.2753
11-Jul-20174314_33.prm,26.814,Vg.N.B.2.40-60.16,0.1924,0.0516,13.8901,2.4315,0.652,357.7648
11-Jul-20174414_38.prm,28.642,Vg.N.A.2.40-60.16,0.2009,0.0575,15.0621,2.513,0.7198,395.5768
11-Jul-20174514_44.prm,25.295,Vg.N.B.1.40-60.16,0.2004,0.0507,13.7139,2.6647,0.674,370.0692
11-Jul-20174614_50.prm,27.059,Vg.N.B.3.40-60.16,0.2084,0.0564,14.8363,2.6096,0.7061,387.9678
11-Jul-20174714_56.prm,25.406,Vg.N.B.4.40-60.16,0.2375,0.0603,15.613,3.0071,0.764,420.2533
11-Jul-20174815_02.prm,28.022,Vg.N.C.4.40-60.16,0.2723,0.0763,18.7588,3.7378,1.0474,578.3713
11-Jul-20174915_07.prm,25.636,Vg.N.C.3.40-60.16,0.1973,0.0506,13.6905,2.5533,0.6546,359.202
11-Jul-20175015_13.prm,25.278,Vg.N.C.2.40-60.16,0.1537,0.0389,11.378,1.8378,0.4646,253.1969
11-Jul-2017510_55.prm,26.884,Vg.E.Ee1.4.0-10.16,0.3451,0.0928,22.0073,5.5514,1.4924,826.6781
11-Jul-20175115_19.prm,27.328,Vg.N.D.1.40-60.16,0.2107,0.0576,15.0697,2.7802,0.7598,417.894
11-Jul-20175215_25.prm,26.992,Vg.N.D.4.40-60.16,0.1714,0.0463,12.8375,2.1487,0.58,317.5819
11-Jul-20175315_31.prm,27.973,Vg.N.D.2.40-60.16,0.2008,0.0562,14.7914,2.581,0.722,396.8082
11-Jul-20175415_36.prm,28.538,Vg.N.D.3.40-60.16,0.2032,0.058,15.1532,2.627,0.7497,412.2683
11-Jul-20175715_54.prm,26.486,Vg.N.3.60-100.16,0.1402,0.0371,11.0375,1.7584,0.4657,253.8382
11-Jul-20175816_00.prm,28.692,Vg.N.4.60-100.16,0.1531,0.0439,12.3776,2.0192,0.5794,317.239
11-Jul-20175916_05.prm,26.716,JP.E2.Ee2.1.0-10.16,0.0833,0.0222,8.1051,1.3207,0.3528,190.8539
11-Jul-20176016_11.prm,26.113,JP.E2.Ee1.1.0-10.16,0.0837,0.0218,8.0262,1.1645,0.3041,163.6607
11-Jul-2017611_00.prm,28.455,Vg.E.Ee2.4.0-10.16,0.3622,0.1031,24.034,5.8865,1.675,928.5318
11-Jul-20176116_17.prm,26.417,JP.E2.T.1.0-10.16,0.0516,0.0136,6.4063,0.501,0.1324,67.8458
11-Jul-20176216_23.prm,26.657,JP.E2.L.1.0-10.16,0.0879,0.0234,8.3366,1.4157,0.3774,204.5588
11-Jul-20176316_29.prm,28.316,JP.E2.T.2.0-10.16,0.0471,0.0133,6.3511,2.051,0.5808,318.0241
11-Jul-20176416_35.prm,26.755,JP.E2.T.3.0-10.16,0.0295,0.0079,5.2762,1.2752,0.3412,184.3527
11-Jul-20176516_40.prm,28.804,JP.E2.T.4.0-10.16,0.015,0.0043,4.5694,0.9292,0.2677,143.3296
11-Jul-20176616_46.prm,27.731,JP.E2.L.2.0-10.16,0.0132,0.0037,4.4424,0.7626,0.2115,111.9963
11-Jul-2017711_06.prm,26.168,Vg.E.L.4.0-10.16,0.2723,0.0713,17.7677,4.4982,1.1771,650.729
11-Jul-2017811_12.prm,26.622,Vg.E.Ee2.3.0-10.16,0.1979,0.0527,14.1039,3.1694,0.8438,464.762
11-Jul-2017911_18.prm,26.648,Vg.E.T.3.0-10.16,0.2967,0.0791,19.3047,4.3156,1.15,635.6332
14-Jul-20171011_05.prm,28.603,JP.E2.Ee1.4.0-10.16,0.0284,0.0081,5.5405,0.8012,0.2292,150.1022
14-Jul-20171111_11.prm,28.68,JP.E2.Ee2.4.0-10.16,0.0617,0.0177,7.3684,1.6348,0.4689,276.3794
14-Jul-20171211_16.prm,27.502,JP.E2.L.3.0-10.16,0.0387,0.0106,6.0218,0.7853,0.216,143.1583
14-Jul-20171311_22.prm,28.792,JP.E2.Ee1.3.0-10.16,0.0466,0.0134,6.5551,1.2277,0.3535,215.5984
14-Jul-20171411_28.prm,28.402,JP.E2.Ee2.3.0-10.16,0.0572,0.0163,7.0938,1.3651,0.3877,233.6379
14-Jul-20171511_33.prm,27.516,JP.E2.L.1.0-10.16,0.0443,0.0122,6.3205,1.0366,0.2852,179.6474
14-Jul-20171611_39.prm,26.682,JP.E2.Ee2.1.0-10.16,0.0497,0.0133,6.5254,1.061,0.2831,178.515
14-Jul-20171811_51.prm,27.171,JP.E2.Ee1.1.0-10.16,0.045,0.0122,6.3248,1.0055,0.2732,173.3082
