"","ID","N_pct","N_mg","N_area","C_pct","C_mg","C_area","nobs","Wt_mg","File.Name","CN_avgd"
"145","Eu.E2.T.1.10-20.16",0.0687,0.0177,9.6712,1.6885,0.4357,292.9632,1,25.803,"02-Aug-20171511_24.prm",0
"146","Eu.E2.T.2.10-20.16",0.0713,0.0183,9.8043,1.3313,0.3414,231.1383,1,25.643,"02-Aug-2017710_38.prm",0
"147","Eu.E2.T.3.10-20.16",0.1104,0.0315,12.9466,2.1331,0.6088,406.4622,1,28.539,"02-Aug-20171010_55.prm",0
"148","Eu.E2.T.4.10-20.16",0.0985,0.0252,11.4485,1.6449,0.421,283.3349,1,25.594,"02-Aug-20176216_27.prm",0
"149","It.E1.1.0-10.04",0.242,0.065,16.3831,4.9231,1.3217,725.6814,1,26.847,"14-Jul-20174714_37.prm",0
"150","It.E1.1.10-20.04",0.1807,0.0509,13.692,3.3398,0.9398,524.481,1,28.139,"14-Jul-20175215_11.prm",0
"151","It.E1.2.0-10.04",0.2322,0.0631,16.0216,4.564,1.2398,682.506,1,27.164,"14-Jul-20174914_51.prm",0
"152","It.E1.2.10-20.04",0.1876,0.0496,13.4602,3.1736,0.8399,471.8774,1,26.467,"14-Jul-20175315_18.prm",0
"153","It.E1.3.0-10.04",0.2507,0.0705,17.4353,4.8082,1.3521,741.6822,1,28.12,"14-Jul-20174814_44.prm",0
"154","It.E1.3.10-20.04",0.1784,0.0495,22.9041,3.5019,0.972,639.7523,1,27.755,"26-Jul-20172012_22.prm",0
"155","It.E1.4.0-10.04",0.1615,0.0428,12.1565,3.1656,0.8389,471.3008,1,26.499,"14-Jul-20174614_32.prm",0
"156","It.E1.4.10-20.04",0.2427,0.0648,26.4188,5.2857,1.4114,927.411,1,26.703,"26-Jul-20172112_29.prm",0
"157","It.E1.Ee1.1.0-10.16",0.2702,0.0728,28.254,7.2393,1.9511,1280.5994,1,26.951,"26-Jul-20171011_15.prm",0
"158","It.E1.Ee1.1.10-20.16",0.2126,0.0578,24.7994,4.7331,1.2863,845.4812,1,27.176,"26-Jul-20172212_36.prm",0
"159","It.E1.Ee1.2.0-10.16",0.2262,0.06085,20.606,5.7535,1.54915,935.90665,2,NA,"14-Jul-20173513_28.prm",1
"160","It.E1.Ee1.2.10-20.16",0.14265,0.03745,20.5241,3.4632,0.90845,605.14235,2,NA,"20-Jul-20173114_14.prm",1
"161","It.E1.Ee1.3.0-10.16",0.2871,0.077,18.6791,5.7528,1.543,842.2427,1,26.821,"14-Jul-20173813_46.prm",0
"162","It.E1.Ee1.4.0-10.16",0.3036,0.0789,29.6601,6.649,1.7285,1134.9224,1,25.996,"26-Jul-2017911_08.prm",0
"163","It.E1.Ee1.4.10-20.16",0.1756,0.0436,22.3287,4.2127,1.0451,702.499,1,24.808,"20-Jul-20172713_51.prm",0
"164","It.E1.Ee2.1.0-10.16",0.3108,0.0834,30.6901,7.2191,1.9379,1271.9913,1,26.844,"26-Jul-20171812_09.prm",0
"165","It.E1.Ee2.1.10-20.16",0.2836,0.0796,29.8158,6.3568,1.7847,1171.7374,1,28.076,"26-Jul-20172412_49.prm",0
"166","It.E1.Ee2.2.0-10.16",0.2789,0.077,29.2056,5.8787,1.6222,1065.3415,1,27.594,"26-Jul-20171912_16.prm",0
"167","It.E1.Ee2.2.10-20.16",0.219,0.05855,25.38545,5.15965,1.3787,914.39565,2,NA,"20-Jul-20172914_03.prm",1
"168","It.E1.Ee2.3.0-10.16",0.3021,0.082,30.3665,6.6787,1.8129,1190.1919,1,27.145,"26-Jul-20171611_55.prm",0
"169","It.E1.Ee2.3.10-20.16",0.2045,0.0568,25.3935,5.067,1.4078,942.0264,1,27.784,"20-Jul-20172413_34.prm",0
"170","It.E1.Ee2.4.0-10.16",0.2733,0.0724,17.7943,5.1332,1.3594,745.5595,1,26.483,"14-Jul-20174514_26.prm",0
"171","It.E1.Ee2.4.10-20.16",0.1283,0.0326,19.7964,3.1908,0.8102,547.413,1,25.392,"20-Jul-20172513_40.prm",0
"172","It.E1.L.1.0-10.16",0.2058,0.0568,24.5684,5.1688,1.4255,936.5832,1,27.578,"26-Jul-20171411_42.prm",0
"173","It.E1.L.1.10-20.16",0.2186,0.0582,24.8982,5.3746,1.4307,939.9852,1,26.619,"26-Jul-20173213_43.prm",0
"174","It.E1.L.2.0-10.16",0.2772,0.0758,28.9513,7.3824,2.0197,1325.5597,1,27.359,"26-Jul-20171511_49.prm",0
"175","It.E1.L.2.10-20.16",0.1966,0.0522,23.91655,4.9898,1.3239,878.2113,2,NA,"20-Jul-20173014_08.prm",1
"176","It.E1.L.3.0-10.16",0.3036,0.0812,19.481,5.9819,1.6002,872.3752,1,26.75,"14-Jul-20174013_57.prm",0
"177","It.E1.L.3.10-20.16",0.1776,0.0496,22.9224,3.7332,1.0423,685.8259,1,27.921,"26-Jul-20172813_16.prm",0
"178","It.E1.L.4.0-10.16",0.2021,0.0526,23.6045,4.4463,1.1565,760.5605,1,26.011,"26-Jul-20171211_29.prm",0
"179","It.E1.L.4.10-20.16",0.2166,0.0612,15.6693,3.9357,1.1124,615.4053,1,28.264,"14-Jul-20175115_05.prm",0
"180","It.E1.T.1.0-10.16",0.24335,0.06405,26.6431,5.5727,1.4645,970.48075,2,NA,"20-Jul-2017511_45.prm",1
"181","It.E1.T.1.10-20.16",0.1676,0.0458,22.0518,4.1197,1.1257,740.3896,1,27.325,"26-Jul-20172713_10.prm",0
"182","It.E1.T.2.0-10.16",0.2781,0.0741,28.551,6.4344,1.7145,1125.7676,1,26.646,"26-Jul-2017811_03.prm",0
"183","It.E1.T.2.10-20.16",0.2367,0.0657,27.0301,5.5118,1.53045,1014.1806,2,NA,"20-Jul-20172813_57.prm",1
"184","It.E1.T.3.0-10.16",0.1708,0.0478,22.5039,3.8855,1.0864,714.6767,1,27.961,"26-Jul-2017610_51.prm",0
"185","It.E1.T.3.10-20.16",0.1627,0.0437,22.37,4.3423,1.1672,783.1402,1,26.88,"20-Jul-20172313_28.prm",0
"186","It.E1.T.4.0-10.16",0.2733,0.0786,18.981,5.6095,1.613,879.1514,1,28.755,"14-Jul-20174114_03.prm",0
"187","It.E1.T.4.10-20.16",0.121,0.0294,19.0708,3.2023,0.7791,526.8327,1,24.328,"20-Jul-20172613_45.prm",0
